on_cpu,new_cpu,old_cpu,pid,jiffies
18,2,18,2552068,4298926394
4,4,1,2551864,4298926395
4,4,1,2551786,4298926395
1,4,1,2552073,4298926396
1,1,4,2551786,4298926396
12,12,6,1913,4298926397
12,12,1,2551786,4298926397
25,2,25,2552079,4298926398
5,6,5,2552080,4298926399
6,6,4,2551864,4298926400
1,1,0,2551821,4298926401
0,0,1,2551796,4298926401
1,3,1,2552087,4298926402
9,3,9,2552088,4298926402
9,9,12,2551786,4298926402
15,15,5,2551887,4298926402
25,25,3,2552082,4298926402
15,2,15,2552092,4298926404
15,15,9,2551786,4298926404
9,0,9,2552095,4298926404
14,14,12,2551881,4298926404
19,9,19,2552096,4298926404
2,2,0,2551865,4298926405
8,8,10,2550246,4298926405
8,8,15,2551786,4298926405
3,3,5,2550236,4298926406
4,4,6,2551864,4298926406
26,3,26,2552104,4298926407
26,26,8,2551786,4298926407
2,2,3,2551822,4298926408
3,3,2,2551816,4298926408
10,10,11,2551831,4298926410
11,0,11,2552114,4298926410
12,12,22,2552113,4298926410
24,6,24,2552112,4298926410
7,7,15,2551887,4298926412
15,15,2,2551865,4298926412
15,15,26,2551786,4298926412
5,4,5,2552119,4298926413
15,14,15,2552124,4298926414
9,9,7,2551887,4298926417
12,12,14,2551881,4298926417
11,11,10,2551828,4298926418
11,11,10,2551831,4298926418
10,10,11,2551818,4298926419
10,10,15,2551786,4298926419
0,1,0,2552139,4298926419
4,4,15,2551865,4298926419
6,7,6,2552134,4298926419
12,3,12,2552138,4298926419
2,2,9,2551887,4298926420
16,0,16,2552143,4298926422
16,16,10,2551786,4298926422
4,5,4,2552144,4298926422
17,14,17,2552145,4298926422
30,14,30,2552146,4298926422
28,28,27,16,4298926423
5,5,14,2552141,4298926423
7,7,4,2551865,4298926424
15,15,7,2551865,4298926425
12,4,12,2552153,4298926426
15,15,4,2551864,4298926427
30,6,30,2552159,4298926427
30,30,16,2551786,4298926427
2,2,12,2551881,4298926428
6,6,15,2551865,4298926428
3,3,6,2551865,4298926429
8,8,9,2551825,4298926430
2,3,2,2552169,4298926430
9,1,9,2552165,4298926430
9,9,8,2551827,4298926430
11,1,11,2552168,4298926430
15,14,15,2552164,4298926430
20,4,20,2552170,4298926430
25,11,25,2552166,4298926431
25,25,30,2551786,4298926431
20,25,20,2552172,4298926431
25,25,3,2551865,4298926432
0,0,2,2551881,4298926433
0,0,25,2551786,4298926433
5,5,2,2551887,4298926434
5,5,0,2551786,4298926434
12,5,12,2552180,4298926435
12,12,5,2551786,4298926435
20,5,20,2552179,4298926435
20,1,20,2552185,4298926436
7,7,25,2551865,4298926436
3,3,2,2551822,4298926437
2,2,15,2551864,4298926437
2,2,3,2551822,4298926437
10,10,28,16,4298926438
0,5,0,2552189,4298926439
0,0,12,2551786,4298926439
9,15,9,2552195,4298926440
9,9,0,2551786,4298926440
20,15,20,2552196,4298926440
3,6,3,2552194,4298926440
5,1,5,2552191,4298926440
11,3,11,2552197,4298926441
4,4,2,2551864,4298926441
15,4,15,2552195,4298926441
19,20,19,2552199,4298926441
24,20,24,2552198,4298926441
24,0,24,2552203,4298926442
24,24,9,2551786,4298926442
4,5,4,2552195,4298926442
6,26,6,2552194,4298926442
2,2,0,2551881,4298926443
2,2,24,2551786,4298926443
14,14,5,2551887,4298926443
18,18,10,16,4298926444
18,18,2,2551786,4298926444
24,27,24,2552204,4298926444
4,4,12,1913,4298926445
4,4,18,2551786,4298926445
12,24,12,2552212,4298926445
15,7,15,2552214,4298926445
24,3,24,2552211,4298926445
15,15,14,2551887,4298926445
12,12,13,2551817,4298926446
2,2,26,2552194,4298926447
5,2,5,2552217,4298926448
11,6,11,2552218,4298926449
2,3,2,2552217,4298926449
15,14,15,2552220,4298926449
22,10,22,2552221,4298926449
9,1,9,2552223,4298926450
14,14,4,1913,4298926450
4,2,4,2552225,4298926450
17,4,17,2552231,4298926453
17,17,4,2551786,4298926453
14,14,1,2552223,4298926454
11,11,10,2551830,4298926455
11,11,17,2551786,4298926455
15,14,15,2552235,4298926455
15,15,14,2551799,4298926456
14,14,15,2552196,4298926456
14,14,15,2551799,4298926456
17,1,17,2552234,4298926456
5,5,4,2551860,4298926457
6,7,6,2552237,4298926457
5,4,5,2552240,4298926459
5,5,11,2551786,4298926459
17,13,17,2552242,4298926459
31,31,18,16,4298926460
2,3,2,2552250,4298926462
13,13,14,1913,4298926462
13,13,3,2552239,4298926462
